file,variant,description,model,gold_n,acc_overall,acc_sae_first,acc_aave_first,order_consist,sae_prec,sae_rec,sae_f1,sae_support,aave_prec,aave_rec,aave_f1,aave_support,nopref_prec,nopref_rec,nopref_f1,nopref_support,P02,P03,P05,P08,P09,P13
single_llm_judge_20260429T201958Z_summary,v1a,"Zero-shot, direct winner, SAE-first only",gpt-5.4,6,0.5000,,,,0.3333,1.0000,0.5000,1,1.0000,0.3333,0.5000,3,0.5000,0.5000,0.5000,2,,,,,,
single_llm_judge_20260429T203027Z_summary,v1b,"Zero-shot, direct winner, both orders",gpt-5.4,6,0.4167,0.5000,0.3333,5/6,0.2222,1.0000,0.3636,2,1.0000,0.1667,0.2857,6,1.0000,0.5000,0.6667,4,,,,,,
single_llm_judge_20260429T203642Z_summary,v1b,"Zero-shot, direct winner, both orders","gpt-5.4, gpt-4.1, gpt-5.5",6,0.4722,0.5000,0.4444,14/18,0.2609,1.0000,0.4138,6,1.0000,0.2222,0.3636,18,0.7778,0.5833,0.6667,12,✓,✗,✗,~,✓,✗
single_llm_judge2_20260429T210404Z_summary,v2,Calibrated direct winner,gpt-4.1,6,0.5833,0.6667,0.5000,5/6,0.4000,1.0000,0.5714,2,1.0000,0.3333,0.5000,6,0.6000,0.7500,0.6667,4,~,✓,✗,✗,✓,✓
single_llm_judge3_20260429T210604Z_summary,v3,Score-only derived label,gpt-4.1,6,0.6667,0.6667,0.6667,6/6,0.5000,1.0000,0.6667,2,1.0000,0.3333,0.5000,6,0.6667,1.0000,0.8000,4,✓,✓,✗,✗,✓,✓
single_llm_judge4_20260429T210718Z_summary,v4,"GPT-5 medium reasoning, direct winner","gpt-5.4, gpt-5.5",6,0.5000,0.5833,0.4167,10/12,0.2667,1.0000,0.4211,4,1.0000,0.3333,0.5000,12,0.8000,0.5000,0.6154,8,✓,✗,✗,✓,✓,✗
single_llm_judge5_20260429T211823Z_summary,v5,"Rationale-informed, direct winner",gpt-4.1,6,0.5833,0.6667,0.5000,5/6,0.5000,1.0000,0.6667,2,1.0000,0.1667,0.2857,6,0.5714,1.0000,0.7273,4,✓,~,✗,✗,✓,✓
single_llm_judge6_20260429T211939Z_summary,v6,"Rationale-informed, score-derived label",gpt-4.1,6,0.7500,0.8333,0.6667,5/6,0.4000,1.0000,0.5714,2,1.0000,0.5000,0.6667,6,1.0000,1.0000,1.0000,4,✓,✓,✗,~,✓,✓
single_llm_judge7_20260429T212215Z_summary,v7,"Study-evaluator persona, direct winner",gpt-4.1,6,0.5833,0.6667,0.5000,5/6,0.4000,1.0000,0.5714,2,1.0000,0.3333,0.5000,6,0.6000,0.7500,0.6667,4,~,✓,✗,✗,✓,✓
single_llm_judge8_20260429T213100Z_summary,v8,"Stricter rationale-informed, score-derived",gpt-4.1,6,0.6667,0.6667,0.6667,6/6,0.5000,1.0000,0.6667,2,1.0000,0.3333,0.5000,6,0.6667,1.0000,0.8000,4,✓,✓,✗,✗,✓,✓
single_llm_judge9_20260429T213228Z_summary,v9,"Score-derived, P05 removed from gold",gpt-4.1,5,0.8000,0.8000,0.8000,5/5,1.0000,1.0000,1.0000,2,1.0000,0.5000,0.6667,4,0.6667,1.0000,0.8000,4,✓,✓,,✗,✓,✓
single_llm_judge10_20260429T214027Z_summary,v10,"Few-shot, score-derived",gpt-4.1,6,0.7500,0.8333,0.6667,5/6,0.5000,1.0000,0.6667,2,1.0000,0.5000,0.6667,6,0.8000,1.0000,0.8889,4,✓,✓,✗,~,✓,✓
single_llm_judge11_20260429T215547Z_summary,v11,"Abstaining few-shot, score-derived",gpt-4.1,6,0.7500,0.8333,0.6667,5/6,0.5000,1.0000,0.6667,2,1.0000,0.5000,0.6667,6,0.8000,1.0000,0.8889,4,✓,✓,✗,~,✓,✓
single_llm_judge12_20260429T221032Z_summary,v12,"Conservative few-shot, score-derived",gpt-4.1,6,0.6667,0.6667,0.6667,6/6,0.5000,1.0000,0.6667,2,1.0000,0.3333,0.5000,6,0.6667,1.0000,0.8000,4,✓,✓,✗,✗,✓,✓
single_llm_judge12_20260429T221405Z_summary,v12,"Conservative few-shot, score-derived",gpt-4.1,6,0.6667,0.6667,0.6667,6/6,0.5000,1.0000,0.6667,2,1.0000,0.3333,0.5000,6,0.6667,1.0000,0.8000,4,✓,✓,✗,✗,✓,✓
